#t	m1	m2	m3
460	0.917	-0.0612	0.3872
461	0.9188	-0.0556	0.4014
462	0.9268	-0.0548	0.4062
463	0.9276	-0.056	0.4032
464	0.9236	-0.0592	0.417
465	0.916	-0.0636	0.4134
466	0.9184	-0.0604	0.4144
467	0.9162	-0.0642	0.4126
468	0.9152	-0.0714	0.4008
469	0.9136	-0.077	0.396
470	0.9188	-0.0806	0.3938
471	0.918	-0.0826	0.3938
472	0.9138	-0.0718	0.3968
473	0.915	-0.0706	0.401
474	0.9064	-0.077	0.401
475	0.9128	-0.0768	0.4054
476	0.9234	-0.073	0.4058
477	0.9164	-0.0674	0.4002
478	0.9186	-0.0684	0.3878
479	0.9188	-0.0612	0.392
480	0.9194	-0.0632	0.3934
481	0.9174	-0.0664	0.387
482	0.9192	-0.0646	0.3724
483	0.923	-0.0616	0.37
484	0.9274	-0.065	0.3776
485	0.9214	-0.067	0.3776
486	0.9122	-0.0556	0.3814
487	0.9104	-0.0542	0.3868
488	0.9194	-0.06	0.3964
489	0.9268	-0.0646	0.4054
490	0.9266	-0.0684	0.3942
491	0.916	-0.0714	0.3968
492	0.9064	-0.0716	0.3926
493	0.918	-0.0694	0.3912
494	0.9168	-0.0734	0.392
495	0.922	-0.075	0.3982
496	0.926	-0.0738	0.3996
497	0.9156	-0.0706	0.4026
498	0.9084	-0.071	0.406
499	0.9082	-0.0768	0.4062
500	0.9092	-0.0854	0.4168
501	0.9098	-0.0862	0.4282
502	0.9224	-0.0832	0.4244
503	0.9246	-0.0866	0.4248
504	0.9258	-0.0894	0.4286
505	0.9412	-0.092	0.4236
506	0.9352	-0.0876	0.427
507	0.9344	-0.0974	0.4158
508	0.9368	-0.097	0.3992
509	0.9316	-0.0934	0.3952
510	0.9356	-0.0904	0.3834
511	0.935	-0.0948	0.3846
512	0.9212	-0.0872	0.3806
513	0.9228	-0.0986	0.3888
514	0.9218	-0.0922	0.3904
515	0.9182	-0.0932	0.3852
516	0.9204	-0.0922	0.3762
517	0.9132	-0.0962	0.3806
518	0.906	-0.1012	0.3806
519	0.9064	-0.0968	0.3734
520	0.9058	-0.097	0.3708
521	0.9072	-0.0964	0.3712
522	0.9136	-0.0958	0.3828
523	0.9226	-0.089	0.3816
524	0.922	-0.0984	0.3814
525	0.9198	-0.096	0.3794
526	0.9178	-0.0924	0.374
527	0.9174	-0.1018	0.3764
528	0.9088	-0.0926	0.368
529	0.9194	-0.0764	0.3632
530	0.916	-0.0776	0.3644
531	0.9144	-0.0852	0.3724
532	0.9154	-0.0894	0.3672
533	0.9142	-0.076	0.3712
534	0.9086	-0.0762	0.3668
535	0.9068	-0.0764	0.3808
536	0.9104	-0.0812	0.3818
537	0.9122	-0.0836	0.39
538	0.9176	-0.0836	0.3838
539	0.9102	-0.0838	0.3796
540	0.904	-0.0736	0.38
541	0.9024	-0.0656	0.383
542	0.9036	-0.0658	0.3878
543	0.9158	-0.0682	0.3972
544	0.9194	-0.0534	0.4034
545	0.9136	-0.0452	0.4018
546	0.9106	-0.0422	0.402
547	0.9106	-0.0352	0.3916
548	0.9112	-0.0332	0.4058
549	0.9128	-0.0368	0.3992
550	0.9156	-0.0404	0.407
551	0.914	-0.042	0.4066
552	0.916	-0.0466	0.416
553	0.911	-0.06	0.4196
554	0.9092	-0.0712	0.4172
555	0.9144	-0.06	0.427
556	0.9118	-0.0516	0.4322
557	0.905	-0.0628	0.435
558	0.9086	-0.071	0.43
559	0.912	-0.0786	0.4294
560	0.907	-0.0762	0.4402
561	0.9004	-0.0802	0.4432
562	0.8982	-0.065	0.4468
563	0.9032	-0.067	0.4396
564	0.9096	-0.0788	0.4344
565	0.9056	-0.0824	0.4328
566	0.9082	-0.0868	0.4366
567	0.9048	-0.0828	0.4396
568	0.9034	-0.0788	0.4466
569	0.8986	-0.0726	0.4492
570	0.8996	-0.0738	0.4504
571	0.89	-0.0836	0.4532
572	0.8966	-0.0886	0.458
573	0.897	-0.0908	0.4456
574	0.8896	-0.0882	0.4424
575	0.8988	-0.0816	0.4404
576	0.9004	-0.0848	0.4418
577	0.9028	-0.0742	0.4562
578	0.9026	-0.0706	0.4414
579	0.9058	-0.0632	0.442
580	0.9042	-0.0616	0.4422
581	0.9102	-0.071	0.4518
582	0.9124	-0.0658	0.4494
583	0.9108	-0.0698	0.4448
584	0.9074	-0.0646	0.4432
585	0.9156	-0.0652	0.4448
586	0.9132	-0.069	0.4528
587	0.917	-0.062	0.4456
588	0.9234	-0.0508	0.4478
589	0.9216	-0.0602	0.4558
590	0.922	-0.0622	0.4506
591	0.9216	-0.061	0.4488
592	0.9246	-0.0834	0.4444
593	0.9294	-0.0824	0.454
594	0.9218	-0.0868	0.4608
595	0.922	-0.0834	0.4648
596	0.9228	-0.0824	0.45
597	0.9232	-0.0864	0.4614
598	0.9192	-0.0806	0.4546
599	0.9056	-0.087	0.4506
600	0.901	-0.0842	0.4472
601	0.8996	-0.0872	0.4424
602	0.8996	-0.0896	0.4494
603	0.9012	-0.0962	0.444
604	0.9072	-0.0972	0.454
605	0.8932	-0.1028	0.4444
606	0.8998	-0.1138	0.4442
607	0.8992	-0.1148	0.4494
608	0.9138	-0.1112	0.441
609	0.9096	-0.1106	0.4514
610	0.9068	-0.1102	0.4542
611	0.9058	-0.1046	0.4588
612	0.9076	-0.0974	0.4534
613	0.9042	-0.1078	0.4396
614	0.9024	-0.109	0.452
615	0.9016	-0.1082	0.4692
616	0.9014	-0.1078	0.466
617	0.8996	-0.1116	0.4592
618	0.903	-0.1164	0.4448
